Porto,358,1769,1694348,canadá,Registado,suite,BAR,2023-03-10,2023-03-26,2023-03-29,3,2,2,0,2,678.0,16,2,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,4,No,null
Gaia,310,1424,1698350,espanha,Registado,twin,BB,2023-03-15,2023-04-05,2023-04-08,3,2,2,0,2,190.7505,21,2,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,192,0,No,null
Olhão,392,1801,1700280,portugal,Cancelado,duplo,RO,2023-03-18,2023-03-18,2023-03-19,1,1,1,0,1,64.4,0,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,19,0,No,null
Gaia,310,1673,1706291,espanha,Registado,duplo,MR - Main Rate,2023-03-26,2023-04-01,2023-04-03,2,2,2,0,2,101.365,6,2,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,192,0,No,null
Covilhã,556,2831,1706584,portugal,Pendente,duplo,Website,2023-03-27,2023-06-30,2023-07-02,2,2,2,0,2,136.0,95,3,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,84,0,No,null
Aveiro,322,2259,1709220,espanha,Modificada,twin,NRF,2023-03-30,2023-03-31,2023-04-02,2,2,2,0,2,172.0,1,2,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,52,0,No,null
Gaia,310,1395,1709426,portugal,Pendente,duplo,MR - Main Rate,2023-03-30,2023-03-31,2023-04-01,1,2,2,0,2,46.075,1,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,192,0,No,null
Nazaré,444,2073,1709441,portugal,Registado,duplo,RO,2023-03-30,2023-04-01,2023-04-02,1,2,2,0,2,100.0,2,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,77,0,No,null
Porto,179,629,1710476,ucránia,Registado,individual,RO,2023-04-01,2023-04-02,2023-04-03,1,1,1,0,1,89.1,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,132,4,No,null
Guimarães,259,1103,1710765,estados unidos,Registado,standard,Website,2023-04-01,2023-04-24,2023-04-26,2,2,2,0,2,279.0,23,3,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,22,1,No,null
Covilhã,556,2833,1710971,espanha,Registado,triple room standard,Website,2023-04-02,2023-04-05,2023-04-07,2,3,3,0,3,166.6,3,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,84,0,No,null
Aveiro,322,2259,1711893,portugal,Registado,twin,Reembolsável,2023-04-03,2023-09-18,2023-09-22,4,2,2,0,2,396.0,168,2,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,52,0,No,null
Porto,179,632,1712556,espanha,Registado,king comfort,Descontos_Especiais,2023-04-03,2023-04-05,2023-04-06,1,2,2,0,2,125.28,2,2,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,132,4,No,null
Lisboa,328,1452,1715386,argentina,Registado,individual,Website,2023-04-07,2023-05-28,2023-06-04,7,1,1,0,1,373.94,51,1,3,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0,56,9,No,null
Valongo,309,1372,1718879,bélgica,NãoRegistado,duplo,BB,2023-04-12,2023-04-24,2023-04-25,1,1,3,0,1,192.13275,12,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,41,0,No,null
Maia,311,2034,1720155,roménia,Registado,duplo,FB,2023-04-14,2023-04-14,2023-04-15,1,2,2,0,2,91.2285,0,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,30,0,No,null
Aveiro,319,2264,1722269,portugal,Registado,standard,BB,2023-04-17,2023-05-02,2023-05-03,1,1,2,0,1,108.0,15,2,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,96,0,No,null
Gaia,310,1395,1422962,portugal,NãoRegistado,duplo,NRF,2022-01-16,2022-01-17,2022-01-21,4,1,1,0,1,199.8,1,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,192,0,No,null
Gaia,310,1395,1423319,portugal,Pendente,duplo,NRF,2022-01-17,2022-01-17,2022-01-18,1,1,1,0,1,43.2,0,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,192,0,No,null
Chaves,426,1990,1425472,portugal,Cancelado,twin,BAR,2022-01-23,2022-02-12,2022-02-13,1,2,2,0,2,70.0,20,2,26,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4,58,0,No,null
Porto,225,847,1432471,alemanha,Registado,vistas_panorâmicas,RO,2022-02-07,2022-02-27,2022-03-05,6,3,3,0,3,960.0,20,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,4,No,null
Maia,311,1407,1435463,frança,Registado,duplo,RO,2022-02-13,2022-02-17,2022-02-18,1,2,2,0,2,64.0,4,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,30,0,No,null
Silves,400,1920,1437663,estados unidos,Registado,duplo,Standard Rate,2022-02-16,2022-04-18,2022-04-19,1,2,2,0,2,90.0,61,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0,No,null
